X,Y,OBJECTID,NAME,LONGITUDE,LATITUDE
-80.200743989513896,43.29704067529449,38,Sheffield Community Hall,-80.2007439892497,43.29704067583658
-79.921686657380704,43.231070073023588,39,Sir Allan Macnab Recreation Centre,-79.92168665738289,43.23107007362862
-79.786761663871758,43.217817102766602,40,Sir Wilfrid Laurier Recreation Centre,-79.78676166429753,43.21781710413284
-79.795714339951388,43.237558499789131,41,Sir Winston Churchill Recreation Centre,-79.79571433973884,43.23755850040588
-79.758527686468653,43.225740892770489,42,Stoney Creek Optomist Community Centre,-79.7585276868391,43.22574089364487
-79.952001623982611,43.212106302694963,43,Redeemer Sports Complex,-79.95200162372063,43.212106303957334
-80.070583721119135,43.184538174847034,44,Ancaster Senior Achievement Centre (Asac),-80.07058372095855,43.18453817547859
-80.13089848411019,43.382862226054677,45,Valens Community Hall,-80.13089848389335,43.3828622273035
-79.908465752164162,43.301660702820769,46,Valley Community Centre (Nigel Charlong),-79.90846575272751,43.30166070386504
-79.798105835167746,43.192904237149236,47,Valley Park Rec Centre,-79.79810583569792,43.19290423842806
-79.892591530298503,43.334087130827015,48,Waterdown Memorial Hall,-79.89259153018527,43.33408713218786
-79.894316130499718,43.22837266155048,49,Westmount Recreation Centre,-79.89431613007507,43.228372662169384
-79.645642566888355,43.209695298304268,50,Winona Scout Hall,-79.64564256677153,43.20969529946014
-79.653084868829012,43.208744385270194,51,Winona Senior Citizen Centre,-79.65308486860114,43.20874438631364
-79.742806341046744,43.146568905414163,52,Woodburn Centennial Hall,-79.74280634128291,43.14656890666839
-79.869884233626451,43.254323269692826,53,Ymca - Hamilton Downtown Family,-79.86988423359848,43.25432327073405
-80.042091717151067,43.434226461998051,54,Mountsberg Hall,-80.04209171656004,43.434226463128375
-79.862604266436236,43.224476904321399,55,Sackville Hill Senior's Centre,-79.86260426592914,43.22447690512324
-79.997839531626425,43.217144908998783,56,Spring Valley Community Centre,-79.99783953126015,43.21714491028943
-79.756767353621072,43.232514790482476,57,Dominic Agostino Riverdale Community Centre,-79.756767354129,43.23251479104158
-79.912271323430915,43.334285957562024,58,Ymca - Flamborough Family,-79.91227132361688,43.33428595880552
-79.871564810129257,43.254230893919846,59,Ywca - Hamilton Family - Macnab St,-79.87156481014803,43.25423089450302
-79.894139852289086,43.257219649557769,60,Soccer World,-79.89413985271617,43.25721965032598
-79.837071865109962,43.198871949981026,61,Mountain Sports Complex,-79.83707186564129,43.19887195088654
-79.702480133937755,43.231070276675048,62,Players Paradise Sports Complex,-79.70248013367576,43.23107027746398
-79.768323277134797,43.262095591530148,63,Lakeland Centre,-79.76832327735099,43.26209559259145
-79.763060246172017,43.217630505410227,64,Stoney Creek Recreation Centre,-79.76306024563874,43.21763050596098
-79.916165389103497,43.265043642297051,65,David Braley Athletic Centre,-79.91616538953649,43.26504364332839
-79.845308069414912,43.257046690357967,66,Norman Pinky Lewis Recreation Centre,-79.8453080697163,43.2570466916642
